year,month,period,ncm,ncm_bucket,pairs,kg_net,fob_usd,freight_usd,insurance_usd,cif_usd_proxy,avg_fob_usd_pair,kg_per_pair,fob_usd_per_kg,source_rows
2023,7,2023-07-01,64041100,"6404.11.00 - Sports footwear, textile upper",630565,440117,17659019,280181,7816,17947016,28.005073,0.697972,40.123465,29
2023,8,2023-08-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",91112,57107,1651363,46215,1361,1698939,18.124539,0.626778,28.916998,28
2023,8,2023-08-01,64041100,"6404.11.00 - Sports footwear, textile upper",736582,507788,16567001,348445,8119,16923565,22.491727,0.689384,32.625822,39
2023,9,2023-09-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",59067,30310,1374222,26368,644,1401234,23.265478,0.513146,45.338898,24
2023,9,2023-09-01,64041100,"6404.11.00 - Sports footwear, textile upper",577131,397566,13991073,239041,7730,14237844,24.242456,0.688866,35.191825,34
2023,10,2023-10-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",38842,28387,1055551,17918,671,1074140,27.175506,0.730833,37.18431,20
2023,10,2023-10-01,64041100,"6404.11.00 - Sports footwear, textile upper",456769,328976,11649620,174646,6130,11830396,25.504402,0.720224,35.411763,31
2023,11,2023-11-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",60787,42974,1508331,18348,630,1527309,24.813381,0.70696,35.098688,20
2023,11,2023-11-01,64041100,"6404.11.00 - Sports footwear, textile upper",598649,428774,14027154,231083,7338,14265575,23.43135,0.716236,32.714563,29
2023,12,2023-12-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",74666,53864,1668825,32547,1097,1702469,22.350534,0.721399,30.982196,19
2023,12,2023-12-01,64041100,"6404.11.00 - Sports footwear, textile upper",415500,298185,10011925,171320,5185,10188430,24.096089,0.717653,33.576219,36
2024,1,2024-01-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",72785,37875,1742087,46474,861,1789422,23.934698,0.520368,45.995696,27
2024,1,2024-01-01,64041100,"6404.11.00 - Sports footwear, textile upper",529945,345412,14167830,238520,7840,14414190,26.734529,0.651788,41.017191,31
2024,2,2024-02-01,64021900,"6402.19.00 - Other sports footwear, rubber/plastic upper",102302,70414,2248758,39440,936,2289134,21.981564,0.688295,31.936234,23
2024,2,2024-02-01,64041100,"6404.11.00 - Sports footwear, textile upper",803318,571608,19597860,300136,9515,19907511,24.396142,0.711559,34.285489,36
