year,month,period,country_code,country_name,pairs,kg_net,fob_usd,freight_usd,insurance_usd,cif_usd_proxy,avg_fob_usd_pair,kg_per_pair,fob_usd_per_kg,source_rows
1997,7,1997-07-01,249,Estados Unidos,145,203,2656,492,0,3148,18.317241,1.4,13.083744,3
1997,7,1997-07-01,351,Hong Kong,2222,1924,23326,1151,82,24559,10.49775,0.865887,12.123701,2
1997,7,1997-07-01,365,Indonésia,38773,30798,561657,21733,1719,585109,14.485776,0.794316,18.236801,8
1997,7,1997-07-01,386,Itália,2334,1677,16739,1687,75,18501,7.171808,0.718509,9.981515,7
1997,7,1997-07-01,580,Panamá,1016,1244,6909,399,0,7308,6.800197,1.224409,5.553859,1
1997,7,1997-07-01,776,Tailândia,9576,6858,201848,30263,1742,233853,21.07853,0.716165,29.432488,2
1997,7,1997-07-01,791,"Tcheca, República",10,21,194,187,4,385,19.4,2.1,9.238095,1
1997,7,1997-07-01,858,Vietnã,4733,3885,81480,8916,251,90647,17.215297,0.820832,20.972973,3
1997,8,1997-08-01,063,Argentina,181500,163212,5101084,39131,49263,5189478,28.105146,0.89924,31.254344,1
1997,8,1997-08-01,069,Austrália,45,24,372,100,0,472,8.266667,0.533333,15.5,1
1997,8,1997-08-01,160,China,101045,82929,1557680,73638,8008,1639326,15.415706,0.820714,18.783297,10
1997,8,1997-08-01,161,Taiwan (Formosa),431,372,5861,1324,9,7194,13.598608,0.863109,15.755376,4
1997,8,1997-08-01,190,Coreia do Sul,7521,6295,156393,10403,883,167679,20.794176,0.83699,24.844003,3
1997,8,1997-08-01,249,Estados Unidos,617,437,7805,2128,0,9933,12.649919,0.708266,17.860412,2
1997,8,1997-08-01,365,Indonésia,61461,50357,1098992,38920,5208,1143120,17.881128,0.819333,21.824017,5
1997,8,1997-08-01,386,Itália,1574,901,11190,6635,120,17945,7.109276,0.572427,12.419534,4
1997,8,1997-08-01,399,Japão,240,312,11842,590,59,12491,49.341667,1.3,37.955128,1
1997,8,1997-08-01,607,Portugal,21,32,333,109,0,442,15.857143,1.52381,10.40625,1
1997,8,1997-08-01,776,Tailândia,1068,820,19966,1677,3,21646,18.694757,0.76779,24.34878,3
1997,8,1997-08-01,858,Vietnã,16518,12481,334073,11420,1634,347127,20.224785,0.7556,26.766525,4
1997,9,1997-09-01,063,Argentina,176272,158727,4864821,37782,28366,4930969,27.598376,0.900466,30.648982,1
1997,9,1997-09-01,160,China,132852,108093,1616698,85777,7017,1709492,12.169166,0.813635,14.956547,10
1997,9,1997-09-01,161,Taiwan (Formosa),3363,2730,67930,2751,328,71009,20.199227,0.811775,24.882784,3
1997,9,1997-09-01,190,Coreia do Sul,7828,6314,233868,7353,1512,242733,29.87583,0.806592,37.039595,3
1997,9,1997-09-01,245,Espanha,4524,3441,46447,18676,86,65209,10.266799,0.76061,13.498111,1
1997,9,1997-09-01,249,Estados Unidos,1660,1292,10032,4097,0,14129,6.043373,0.778313,7.764706,2
1997,9,1997-09-01,351,Hong Kong,10990,8612,118861,8217,194,127272,10.815378,0.783621,13.801788,3
1997,9,1997-09-01,365,Indonésia,75417,61864,1192272,37019,4320,1233611,15.809062,0.820293,19.272469,3
1997,9,1997-09-01,386,Itália,1295,1350,14913,625,14,15552,11.51583,1.042471,11.046667,7
1997,9,1997-09-01,628,Reino Unido,39,39,316,122,0,438,8.102564,1.0,8.102564,1
1997,9,1997-09-01,741,Singapura,1608,1655,18331,2711,0,21042,11.399876,1.029229,11.076133,1
1997,9,1997-09-01,776,Tailândia,39950,30112,717512,28145,3865,749522,17.96025,0.753742,23.828108,1
1997,9,1997-09-01,858,Vietnã,53225,43444,1138563,33691,5123,1177377,21.391508,0.816233,26.207601,4
1997,10,1997-10-01,063,Argentina,207103,186942,5685853,43256,33160,5762269,27.454228,0.902652,30.415065,1
1997,10,1997-10-01,160,China,195480,163677,3659314,131406,15436,3806156,18.719634,0.837308,22.356922,13
1997,10,1997-10-01,161,Taiwan (Formosa),5253,4340,101811,2306,372,104489,19.381496,0.826195,23.458756,4
1997,10,1997-10-01,187,Coreia do Norte,20,20,148,177,0,325,7.4,1.0,7.4,1
1997,10,1997-10-01,190,Coreia do Sul,2703,2188,56736,3225,376,60337,20.990011,0.809471,25.93053,4
1997,10,1997-10-01,245,Espanha,5805,4903,62080,24098,364,86542,10.694229,0.844617,12.661636,1
1997,10,1997-10-01,249,Estados Unidos,10724,6717,26236,5243,0,31479,2.446475,0.626352,3.90591,5
1997,10,1997-10-01,267,Filipinas,1440,1321,32160,1446,0,33606,22.333333,0.917361,24.345193,1
1997,10,1997-10-01,351,Hong Kong,910,869,17382,656,10,18048,19.101099,0.954945,20.002301,2
1997,10,1997-10-01,365,Indonésia,103088,86308,1825212,71920,7683,1904815,17.705378,0.837226,21.147657,9
1997,10,1997-10-01,386,Itália,1012,849,11128,170,1,11299,10.996047,0.838933,13.107185,3
1997,10,1997-10-01,399,Japão,12,10,1334,166,7,1507,111.166667,0.833333,133.4,1
1997,10,1997-10-01,741,Singapura,840,827,9274,1570,0,10844,11.040476,0.984524,11.214027,1
1997,10,1997-10-01,776,Tailândia,11465,9327,243514,10393,1121,255028,21.239773,0.813519,26.108502,4
1997,10,1997-10-01,858,Vietnã,35364,29998,519650,13965,1364,534979,14.694322,0.848264,17.322822,5
1997,11,1997-11-01,063,Argentina,103941,93734,2807330,20307,16372,2844009,27.00888,0.9018,29.949965,1
1997,11,1997-11-01,160,China,153380,131834,2521723,83770,8986,2614479,16.441016,0.859525,19.128017,10
1997,11,1997-11-01,161,Taiwan (Formosa),2900,2411,29554,769,0,30323,10.191034,0.831379,12.257984,3
1997,11,1997-11-01,190,Coreia do Sul,1410,1269,14802,1559,0,16361,10.497872,0.9,11.664303,1
1997,11,1997-11-01,245,Espanha,4530,3228,46996,8052,138,55186,10.374393,0.712583,14.55886,2
