brand,franchise_label_auto,n_skus_franchise,n_gps_franchise,gens_detected,first_seen,last_seen,example_names,KEEP_MERGE_SPLIT,new_franchise_label,merge_with_franchise,note
Nike,Team Hustle D,100,8,"10,11",2025-07-28,2026-04-30,Tênis Infantil Nike Team Hustle D 11 | Tênis Nike Team Hustle D 11 Lil - Infantil | Tênis Nike Team Hustle D 11 Lil PS - Infantil | Tênis Nike Team Hustle D 11 - Infantil,,,,
Nike,Metro Tek,99,2,,2025-11-06,2026-05-21,Tênis Masculino Nike Metro Tek | Tênis Feminino Nike Metro Tek,,,,
Nike,Run Swift,98,4,3,2025-07-28,2026-05-21,Tênis Nike Run Swift 3 - Feminino | Tênis Nike Run Swift 3 - Masculino | Tênis Masculino Nike Run Swift 3 | Tênis Feminino Nike Run Swift 3,,,,
Nike,Vapor,98,13,"15,16",2025-07-28,2026-05-21,Chuteira Society Nike Vapor 16 Club - Adulto | Chuteira de Campo Nike Vapor 16 Elite Adulto | Chuteira de Campo Nike Vapor 15 Club - Infantil | Chuteira de Campo Adulto Nike Vapor 16 Elite,,,,
Nike,Futsal Zoom Vapor,97,8,"15,16",2025-07-28,2026-05-21,Chuteira Futsal Nike Zoom Vapor 16 Academy - Infantil | Chuteira Futsal Nike Zoom Vapor 16 Academy - Adulto | Chuteira Futsal Infantil Nike Zoom Vapor 16 Academy Kylian Mbappé | Chuteira Futsal Adulto Nike Zoom Vapor 16 Vini Jr Academy,,,,
Nike,Pacific Ltr,96,2,,2025-11-06,2026-05-21,Tênis Feminino Nike Pacific LTR | Tênis Masculino Nike Pacific LTR,,,,
Nike,V5 Runner,94,3,,2025-08-22,2026-05-21,Tênis Feminino Nike V5 Runner | Tênis Masculino Nike V5 Runner | Tênis Infantil Nike V5 Runner,,,,
Nike,Air Max Cirro,92,6,,2025-07-28,2026-05-21,Chinelo Nike Air Max Cirro - Slide - Adulto | Chinelo Nike Air Max Cirro Slide Adulto | Chinelo Nike Air Max Cirro Masculino | Chinelo Slide Nike Air Max Cirro - Masculino,,,,
Nike,Zoom Mercurial Superfly,91,10,"9,10",2025-07-28,2026-05-21,Chuteira Society Masculina Nike Zoom Mercurial Superfly 10 Academy | Chuteira Society Nike Zoom Mercurial Superfly 10 Academy - Adulto | Chuteira de Campo Masculina Nike Zoom Mercurial Superfly 10 Elite KM | Chuteira de Campo Infantil Nike Zoom Mercurial Superfly 10 Academy,,,,
Nike,Court Legacy Lift,88,3,,2025-07-28,2026-05-21,Tênis Nike Court Legacy Lift - Feminino | Tênis Feminino Nike Court Legacy Lift | Tênis Nike Court Legacy Lift Feminino,,,,
Nike,G.t Hustle Academy,88,1,,2025-07-28,2026-05-21,Tênis Nike G.T Hustle Academy Masculino,,,,
Nike,Mercurial Zoom Superfly,86,13,"9,10",2025-07-28,2026-05-21,Chuteira de Campo Nike Mercurial Zoom Superfly 10 Academy Adulto | Chuteira Society Nike Mercurial Zoom Superfly 10 Academy Júnior | Chuteira de Campo Adulto Nike Mercurial Zoom Superfly 10 Academy | Chuteira de Campo Adulto Nike Mercurial Zoom Superfly 10 Academy Mbappé,,,,
Nike,Team Hustle D12,86,1,,2025-07-28,2026-05-21,Tênis Infantil Nike Team Hustle D12,,,,
Nike,Book,85,7,"1,2",2025-07-28,2026-05-21,Tênis Nike Book 1 Masculino | Tênis Nike Book 1 Lea - Masculino | Tênis Masculino Nike Book 1 Moss Point | Tênis Nike Book 1 - Adulto,,,,
Nike,Nikecourt Vision Low,85,2,,2025-07-28,2025-11-27,Tênis Nikecourt Vision Low - Masculino | Tênis Nikecourt Vision Low - Feminino,,,,
Nike,Offcourt Adjust,84,7,,2025-07-28,2026-05-21,Chinelo Slide Nike Offcourt Adjust - Adulto | Chinelo Nike Offcourt Adjust Masculino | Chinelo Nike Offcourt Adjust - Masculino | Chinelo Nike Offcourt Adjust Feminino,,,,
Nike,Kawa,83,8,,2025-07-28,2026-05-21,Chinelo Slide Nike Kawa - Infantil | Sandália Nike Kawa - Infantil | Chinelo Nike Kawa - Infantil | Chinelo Infantil Nike Kawa,,,,
Nike,Tiempo Maestro Club,83,6,,2026-02-05,2026-05-21,Chuteira de Futsal Nike Tiempo Maestro Club | Chuteira de Campo Adulto Nike Tiempo Maestro Club | Chuteira de Futsal Adulto Nike Tiempo Maestro Club | Chuteira Society Adulto Nike Tiempo Maestro Club,,,,
Nike,Mercurial Zoom Vapor,82,17,"15,16",2025-07-28,2026-05-21,Chuteira Society Adulto Nike Mercurial Zoom Vapor 16 Academy MDS | Chuteira de Campo Adulto Nike Mercurial Zoom Vapor 16 Pro Kylian Mbappé | Chuteira de Campo Nike Mercurial Zoom Vapor 16 Academy - Adulto | Chuteira de Campo Adulto Nike Mercurial Zoom Vapor 16 Academy United,,,,
Nike,Rival Fly,82,1,4,2025-07-28,2026-03-26,Tênis Nike Rival Fly 4 - Masculino,,,,
Nike,Full Force Lo,81,2,,2025-07-28,2026-05-21,Tênis Nike Full Force Lo - Masculino | Tênis Infantil Nike Full Force LO,,,,
Nike,Sonic Fly,81,3,,2025-07-28,2026-05-21,Tênis Júnior Nike Sonic Fly | Tênis Infantil Nike Sonic Fly | Tênis Nike Sonic Fly - Infantil,,,,
Nike,Zoom Freak,79,6,"5,6,7",2025-07-28,2026-05-07,Tênis Nike Zoom Freak 6 - Masculino | Tênis Nike Zoom Freak 5 - Masculino | Tênis Masculino Nike Zoom Freak 7 | Tênis Masculino Nike Zoom Freak 6,,,,
Nike,Cortez SE Pacific,78,1,,2025-07-28,2025-11-13,Tênis Nike Cortez SE Pacific - Feminino,,,,
Nike,Court Vapor Lite,75,4,"2,3",2025-07-28,2026-05-21,Tênis Nike Court Vapor Lite 3 HC - Masculino | Tênis Nike Court Vapor Lite 2 HC - Masculino | Tênis Nike Court Vapor Lite 2 Hc - Masculino | Tênis Nike Court Vapor Lite 2 Hc - Feminino,,,,
Nike,Court Royale,74,5,2,2025-07-28,2026-05-21,Tênis Nike Court Royale 2 Next Nature - Masculino | Tênis Nike Court Royale 2 - Feminino | Tênis Nike Court Royale - Feminino | Tênis Feminino Nike Court Royale,,,,
Nike,IN Season Tr,74,3,"13,14",2025-07-28,2026-05-21,Tênis Nike In-Season TR 14 Feminino | Tênis Nike In-Season Tr 13 - Feminino | Tênis Nike In-Season Tr 13 - Masculino,,,,
Nike,Air Zoom G.t. Jump Academy,68,1,,2025-07-28,2026-04-09,Tênis Nike Air Zoom G.T. Jump Academy - Masculino,,,,
Nike,Big Low,68,3,,2025-07-28,2026-05-21,Tênis Nike Big Low Masculino | Tênis Masculino Nike Big Low | Tênis Nike Big Low - Masculino,,,,
Nike,Free Next Nature,68,2,,2025-07-28,2026-05-21,Tênis Nike Free Next Nature - Masculino | Tênis Masculino Nike Free Next Nature,,,,
Nike,Air Max,67,6,"1,90,270",2025-07-28,2026-04-30,Tênis Nike Air Max 270 - Masculino | Tênis Nike Air Max 1 - Infantil | Tênis Masculino Nike Air Max 90 | Tênis Nike Air Max 270 - Feminino,,,,
Nike,Air Zoom G. T. Cut Academy,66,1,,2025-07-28,2026-05-21,Tênis Nike Air Zoom G. T. Cut Academy Masculino,,,,
Nike,Court Legacy,66,4,,2025-07-28,2026-05-21,Tênis Infantil Nike Court Legacy | Tênis Nike Court Legacy - Infantil | Tênis Nike Court Legacy - Masculino | Tênis Nike Infantil Court Legacy,,,,
Nike,Futsal Phantom Gx Ii Club,66,4,,2025-07-28,2026-05-21,Chuteira Futsal Nike Phantom GX II Club Adulto | Chuteira Futsal Nike Phantom Gx Ii Club - Adulto | Chuteira Futsal Nike Phantom Gx II Club - Infantil | Chuteira Futsal Adulto Nike Phantom GX II Club,,,,
Nike,Court Vision Low V3,64,2,,2025-07-28,2026-05-21,Tênis Masculino Nike Court Vision Low V3 | Tênis Nike Court Vision Low V3 - Masculino,,,,
Nike,Giannis Freak,64,4,"6,7",2025-07-28,2026-05-21,Tênis Masculino Nike Giannis Freak 6 | Tênis Masculino Nike Giannis Freak 7 | Tênis Nike Giannis Freak 6 - Unissex | Tênis Nike Giannis Freak 6 - Adulto,,,,
Nike,Zoom Lebron Nxxt Gen Ampd,64,1,,2025-07-28,2026-05-21,Tênis Nike Zoom Lebron NXXT Gen AMPD Masculino,,,,
Nike,Infinity Run,63,8,4,2025-07-28,2026-05-21,Tênis Nike Infinity Run 4 - Feminino | Tênis Nike Infinity Run 4 - Masculino | Tênis Nike Infinity Run 4 Feminino | Tênis Nike Infinity Run 4 Gore-Tex - Masculino,,,,
Nike,Lebron Tr1,63,4,,2025-07-28,2026-05-21,Tênis Masculino Nike Lebron TR1 | Tênis Nike Lebron TR1 - Masculino | Tênis Nike Lebron Tr1 - Masculino | Tênis Nike Lebron Tr1 Masculino,,,,
Nike,Nikecourt Vapor Lite,63,4,"2,3",2023-09-27,2026-03-19,Tênis NikeCourt Vapor Lite 3 HC - Masculino | Tênis NikeCourt Vapor Lite 2 HC - Masculino | Tênis Nikecourt Vapor Lite 2 Hc - Masculino | Tênis Nikecourt Vapor Lite 2 - Feminino,,,,
Nike,Lebron Xxi,62,4,,2025-07-28,2026-05-21,Tênis Nike Lebron XXI - Masculino | Tênis Nike Lebron Xxi - Adulto | Tênis Nike Lebron XXI Masculino | Tênis Masculino Nike Lebron XXI,,,,
Nike,Calm,61,8,20,2025-07-28,2026-05-21,Chinelo Nike Calm - Feminino | Chinelo Nike Calm Slide 20 Masculino | Chinelo Nike Calm - Masculino | Chinelo Nike Calm Slide Feminino,,,,
Nike,Sunray Protect,60,7,"2,3,4",2025-07-28,2026-05-21,Sandália Nike Sunray Protect 4 Infantil | Sandália Infantil Nike Sunray Protect 4 | Tênis Unissex Nike Sunray Protect 4 | Sandália Nike Sunray Protect 2 PS - Infantil,,,,
Nike,Air Jordan Skyline Low,58,2,,2026-02-05,2026-05-21,Tênis Masculino Nike Air Jordan Skyline Low | Tênis Feminino Nike Air Jordan Skyline Low,,,,
Nike,Full Force Lo .,58,1,,2025-08-28,2025-09-25,Tênis Nike Full Force Lo - Masculino.,,,,
Nike,React Infinity Run Fk,58,8,"3,4",2025-07-28,2026-05-07,Tênis Nike React Infinity Run FK 4 - Masculino | Tênis Nike React Infinity Run FK 3 RF - Feminino | Tênis Nike React Infinity Run Fk 4 - Feminino | Tênis Nike React Infinity Run FK 3NK - Masculino,,,,
Nike,Air Max Portal,56,2,,2025-07-28,2026-05-21,Tênis Feminino Nike Air Max Portal | Tênis Nike Air Max Portal - Feminino,,,,
Nike,Court Vision Alta Xs,56,1,,2025-07-28,2026-05-21,Tênis Nike Court Vision Alta Xs - Feminino,,,,
Nike,Terra Manta Suede,56,2,,2025-11-06,2026-05-21,Tênis Masculino Nike Terra Manta Suede | Tênis Feminino Nike Terra Manta Suede,,,,
Nike,De Phantom,55,6,6,2026-02-05,2026-05-21,Chuteira de Society Masculina Nike Phantom 6 Reactx Pro | Chuteira de Society Masculina Nike Phantom 6 Club | Chuteira de Society Adulto Nike Phantom 6 Academy Low | Chuteira de Society Masculina Nike Phantom 6 Academy,,,,
Nike,Free Run Flyknit,55,1,,2025-07-28,2026-04-30,Tênis Nike Free Run Flyknit - Feminino,,,,
Nike,Impact,55,1,4,2025-07-28,2026-05-21,Tênis Nike Impact 4 - Masculino,,,,
Nike,Phantom High,55,7,6,2025-07-28,2026-05-21,Chuteira de Campo Infantil Nike Phantom High 6 Club | Chuteira Society Adulto Nike Phantom High 6 Club | Chuteira de Campo Adulto Nike Phantom High 6 Club | Chuteira de Campo Masculina Nike Phantom High 6 Elite LE,,,,
Nike,Structure Plus,54,3,,2026-01-22,2026-05-21,Tênis Feminino Nike Structure Plus | Tênis Nike Structure Plus | Tênis Masculino Nike Structure Plus,,,,
Nike,Erling Haaland Phantom,53,6,6,2025-09-04,2026-05-21,Chuteira Society Adulto Nike Erling Haaland Phantom 6 Academy | Chuteira Society Erling Haaland Nike Phantom 6 Academy Infantil | Chuteira Society Erling Haaland Nike Phantom 6 Academy | Chuteira Society Erling Haaland Nike Phantom 6 Academy Adulto,,,,
Nike,Kd18,53,3,,2025-07-28,2026-05-07,Tênis Masculino Nike KD18 | Tênis Nike KD18 | Nike KD18,,,,
Nike,Sabrina,53,7,"1,2,3",2025-07-28,2026-05-21,Tênis Unissex Nike Sabrina 3 | Tênis Nike Sabrina 1 Ion Feminino | Tênis Feminino Nike Sabrina 3 | Tênis Feminino Nike Sabrina 2,,,,
Nike,Jordan Luka Dog,52,1,,2026-04-16,2026-05-21,Tênis Masculino Nike Jordan Luka Dog,,,,
Nike,Lebron Witness Viii,52,1,,2025-08-28,2026-05-21,Tênis Nike Lebron Witness VIII - Masculino,,,,
Nike,Victori,52,1,,2025-07-28,2026-05-21,Chinelo Nike Victori - Slide - Masculino,,,,
